Probe Set ID	Gene Title	Entrez Gene ID	Ensembl
201040_at	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	2771	ENSG00000114353 /// OTTHUMG00000156940
201049_s_at	ribosomal protein S18	6222	ENSG00000096150 /// ENSG00000223367 /// ENSG00000226225 /// ENSG00000231500 /// ENSG00000235650 /// OTTHUMG00000012621 /// OTTHUMG00000031053 /// OTTHUMG00000031323 /// OTTHUMG00000149084 /// OTTHUMG00000149599
201082_s_at	dynactin 1	1639	ENSG00000204843 /// OTTHUMG00000129963
201123_s_at	eukaryotic translation initiation factor 5A	1984	ENSG00000132507 /// OTTHUMG00000102197
201154_x_at	ribosomal protein L4	6124	ENSG00000174444 /// OTTHUMG00000133193
201217_x_at	ribosomal protein L3	6122	ENSG00000100316 /// OTTHUMG00000151079
201218_at	C-terminal binding protein 2	1488	ENSG00000175029 /// OTTHUMG00000019224
201220_x_at	C-terminal binding protein 2	1488	ENSG00000175029 /// OTTHUMG00000019224
201221_s_at	small nuclear ribonucleoprotein, U1 70kDa subunit	6625	ENSG00000104852 /// OTTHUMG00000183344
201232_s_at	proteasome 26S subunit, non-ATPase 13	5719	ENSG00000185627 /// OTTHUMG00000119072
201233_at	proteasome 26S subunit, non-ATPase 13	5719	ENSG00000185627 /// OTTHUMG00000119072
201251_at	pyruvate kinase, muscle	5315	ENSG00000067225 /// OTTHUMG00000172709
201255_x_at	BCL2 associated athanogene 6	7917	ENSG00000096155 /// ENSG00000204463 /// ENSG00000227761 /// ENSG00000228760 /// ENSG00000229524 /// ENSG00000233348 /// ENSG00000234651 /// OTTHUMG00000031171 /// OTTHUMG00000031455 /// OTTHUMG00000137392 /// OTTHUMG00000149124 /// OTTHUMG00000149381 /// OTTHUMG00000149640 /// OTTHUMG00000149936
201257_x_at	ribosomal protein S3A	6189	ENSG00000145425 /// OTTHUMG00000161445
201267_s_at	proteasome 26S subunit, ATPase 3	5702	ENSG00000165916 /// OTTHUMG00000167692
201268_at	NME1-NME2 readthrough /// NME/NM23 nucleoside diphosphate kinase 2	4831 /// 654364	ENSG00000011052 /// ENSG00000243678 /// OTTHUMG00000137475 /// OTTHUMG00000154062
201275_at	farnesyl diphosphate synthase	2224	ENSG00000160752 /// OTTHUMG00000013909
201314_at	serine/threonine kinase 25	10494	ENSG00000115694 /// OTTHUMG00000133408
201339_s_at	sterol carrier protein 2	6342	ENSG00000116171 /// OTTHUMG00000008936
201371_s_at	cullin 3	8452	ENSG00000036257 /// OTTHUMG00000133167
201406_at	ribosomal protein L36a /// RPL36A-HNRNPH2 readthrough	6173 /// 100529097	ENSG00000241343 /// OTTHUMG00000022027 /// OTTHUMG00000170052
201469_s_at	SHC (Src homology 2 domain containing) transforming protein 1	6464	ENSG00000160691 /// ENSG00000163348 /// OTTHUMG00000037295 /// OTTHUMG00000037370
201475_x_at	methionyl-tRNA synthetase	4141	ENSG00000166986 /// OTTHUMG00000169996
201476_s_at	ribonucleotide reductase M1	6240	ENSG00000167325 /// OTTHUMG00000133361
201500_s_at	protein phosphatase 1, regulatory (inhibitor) subunit 11	6992	ENSG00000204619 /// ENSG00000227720 /// ENSG00000233314 /// ENSG00000234058 /// ENSG00000236560 /// ENSG00000237403 /// ENSG00000237829 /// OTTHUMG00000031260 /// OTTHUMG00000031558 /// OTTHUMG00000131175 /// OTTHUMG00000148778 /// OTTHUMG00000148988 /// OTTHUMG00000149273 /// OTTHUMG00000149503
201517_at	nuclear cap binding protein subunit 2	22916	ENSG00000114503 /// OTTHUMG00000155520
201521_s_at	nuclear cap binding protein subunit 2	22916	ENSG00000114503 /// OTTHUMG00000155520
201522_x_at	small nuclear ribonucleoprotein polypeptide N /// SNRPN upstream reading frame	6638 /// 8926	ENSG00000128739 /// OTTHUMG00000129180
201532_at	proteasome subunit alpha 3	5684	ENSG00000100567 /// OTTHUMG00000140319
201635_s_at	fragile X mental retardation, autosomal homolog 1	8087	ENSG00000114416
201637_s_at	fragile X mental retardation, autosomal homolog 1	8087	ENSG00000114416
201762_s_at	proteasome activator subunit 2	5721	ENSG00000100911 /// OTTHUMG00000028797
201763_s_at	death-domain associated protein	1616	ENSG00000204209 /// ENSG00000206206 /// ENSG00000206279 /// ENSG00000227046 /// ENSG00000231617 /// OTTHUMG00000013686 /// OTTHUMG00000031203 /// OTTHUMG00000031504 /// OTTHUMG00000149096 /// OTTHUMG00000149613
201767_s_at	elaC ribonuclease Z 2	60528	ENSG00000006744 /// OTTHUMG00000058764
201783_s_at	v-rel avian reticuloendotheliosis viral oncogene homolog A	5970	ENSG00000173039 /// OTTHUMG00000166566
201796_s_at	valyl-tRNA synthetase	7407	ENSG00000096171 /// ENSG00000204394 /// ENSG00000224264 /// ENSG00000226589 /// ENSG00000231116 /// ENSG00000231945 /// OTTHUMG00000031286 /// OTTHUMG00000031584 /// OTTHUMG00000137401 /// OTTHUMG00000148788 /// OTTHUMG00000149010 /// OTTHUMG00000149524
201797_s_at	valyl-tRNA synthetase	7407	ENSG00000096171 /// ENSG00000204394 /// ENSG00000224264 /// ENSG00000226589 /// ENSG00000231116 /// ENSG00000231945 /// OTTHUMG00000031286 /// OTTHUMG00000031584 /// OTTHUMG00000137401 /// OTTHUMG00000148788 /// OTTHUMG00000149010 /// OTTHUMG00000149524
201803_at	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa	5431	ENSG00000047315 /// OTTHUMG00000128771
201823_s_at	ring finger protein 14	9604	ENSG00000013561 /// OTTHUMG00000129660
201994_at	mortality factor 4 like 2	9643	ENSG00000123562 /// OTTHUMG00000022104
202042_at	histidyl-tRNA synthetase	3035	ENSG00000170445 /// OTTHUMG00000129502
202074_s_at	optineurin	10133	ENSG00000123240 /// OTTHUMG00000017690
202098_s_at	protein arginine methyltransferase 2	3275	ENSG00000160310 /// OTTHUMG00000048806
202157_s_at	CUGBP, Elav-like family member 2	10659	ENSG00000048740 /// OTTHUMG00000017668
202178_at	protein kinase C, zeta	5590	ENSG00000067606 /// OTTHUMG00000001238
202289_s_at	transforming, acidic coiled-coil containing protein 2	10579	ENSG00000138162 /// OTTHUMG00000019181
202307_s_at	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	6890	ENSG00000168394 /// ENSG00000206297 /// ENSG00000224212 /// ENSG00000224748 /// ENSG00000226173 /// ENSG00000227816 /// ENSG00000230705 /// ENSG00000232367 /// OTTHUMG00000012640 /// OTTHUMG00000031067 /// OTTHUMG00000031337 /// OTTHUMG00000140128 /// OTTHUMG00000148832 /// OTTHUMG00000149101 /// OTTHUMG00000149358 /// OTTHUMG00000149619
202326_at	euchromatic histone-lysine N-methyltransferase 2	10919	ENSG00000204371 /// ENSG00000206376 /// ENSG00000224143 /// ENSG00000227333 /// ENSG00000232045 /// ENSG00000236759 /// ENSG00000238134 /// OTTHUMG00000004937 /// OTTHUMG00000031180 /// OTTHUMG00000031471 /// OTTHUMG00000137489 /// OTTHUMG00000148806 /// OTTHUMG00000149046 /// OTTHUMG00000149555
202327_s_at	polycystic kidney disease 1 (autosomal dominant)	5310	ENSG00000008710 /// OTTHUMG00000155795
202332_at	casein kinase 1, epsilon /// LOC400927-CSNK1E readthrough	1454 /// 102800317	ENSG00000213923 /// OTTHUMG00000151135
202371_at	transcription elongation factor A (SII)-like 4	79921	ENSG00000133142 /// OTTHUMG00000022103
202379_s_at	natural killer cell triggering receptor	4820	ENSG00000114857 /// OTTHUMG00000133037
202402_s_at	cysteinyl-tRNA synthetase	833	ENSG00000110619 /// ENSG00000278191 /// OTTHUMG00000010927 /// OTTHUMG00000190757
202407_s_at	pre-mRNA processing factor 31	26121	ENSG00000105618 /// ENSG00000274144 /// ENSG00000274651 /// ENSG00000274894 /// ENSG00000275117 /// ENSG00000275885 /// ENSG00000276421 /// ENSG00000277154 /// ENSG00000277707 /// ENSG00000277953 /// OTTHUMG00000066040 /// OTTHUMG00000189021
202408_s_at	pre-mRNA processing factor 31	26121	ENSG00000105618 /// ENSG00000274144 /// ENSG00000274651 /// ENSG00000274894 /// ENSG00000275117 /// ENSG00000275885 /// ENSG00000276421 /// ENSG00000277154 /// ENSG00000277707 /// ENSG00000277953 /// OTTHUMG00000066040 /// OTTHUMG00000189021
202514_at	discs, large homolog 1 (Drosophila)	1739	ENSG00000075711 /// OTTHUMG00000047972
202515_at	discs, large homolog 1 (Drosophila)	1739	ENSG00000075711 /// OTTHUMG00000047972
202516_s_at	discs, large homolog 1 (Drosophila)	1739	ENSG00000075711 /// OTTHUMG00000047972
202520_s_at	mutL homolog 1	4292	ENSG00000076242 /// OTTHUMG00000130797
202531_at	interferon regulatory factor 1	3659	ENSG00000125347 /// OTTHUMG00000059497
202555_s_at	myosin light chain kinase	4638	ENSG00000065534 /// OTTHUMG00000141304
202576_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19A /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 19B	11269 /// 55308	ENSG00000157349 /// ENSG00000168872 /// OTTHUMG00000137577 /// OTTHUMG00000137579
202580_x_at	forkhead box M1	2305	ENSG00000111206 /// OTTHUMG00000168118
202618_s_at	methyl-CpG binding protein 2	4204	ENSG00000169057 /// OTTHUMG00000024229
202621_at	interferon regulatory factor 3	3661	ENSG00000126456 /// OTTHUMG00000183287
202652_at	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	322	ENSG00000166313 /// OTTHUMG00000165454
202667_s_at	solute carrier family 39 (zinc transporter), member 7	7922	ENSG00000112473 /// ENSG00000206288 /// ENSG00000224399 /// ENSG00000226614 /// ENSG00000227402 /// ENSG00000229802 /// OTTHUMG00000012689 /// OTTHUMG00000031238 /// OTTHUMG00000031538 /// OTTHUMG00000149082 /// OTTHUMG00000149348 /// OTTHUMG00000149597
202671_s_at	uncharacterized protein C21orf124 /// pyridoxal (pyridoxine, vitamin B6) kinase	8566 /// 105372824	ENSG00000160209 /// OTTHUMG00000086870
202672_s_at	activating transcription factor 3	467	ENSG00000162772 /// OTTHUMG00000036747
202698_x_at	cytochrome c oxidase subunit IV isoform 1	1327	ENSG00000131143 /// OTTHUMG00000137649
202726_at	ligase I, DNA, ATP-dependent	3978	ENSG00000105486 /// OTTHUMG00000183187
202728_s_at	latent transforming growth factor beta binding protein 1	4052	ENSG00000049323 /// OTTHUMG00000152118
202732_at	protein kinase (cAMP-dependent, catalytic) inhibitor gamma	11142	ENSG00000168734 /// OTTHUMG00000033065
202753_at	proteasome 26S subunit, non-ATPase 6	9861	ENSG00000163636 /// OTTHUMG00000158765
202758_s_at	regulatory factor X-associated ankyrin-containing protein	8625	ENSG00000064490 /// OTTHUMG00000169224
202768_at	FBJ murine osteosarcoma viral oncogene homolog B	2354	ENSG00000125740 /// OTTHUMG00000182122
202824_s_at	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)	6921	ENSG00000154582 /// OTTHUMG00000164501
202833_s_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	5265	ENSG00000197249 /// ENSG00000277377 /// OTTHUMG00000150355 /// OTTHUMG00000190244
202836_s_at	thioredoxin-like 4A	10907	ENSG00000141759 /// OTTHUMG00000180376
202864_s_at	SP100 nuclear antigen	6672	ENSG00000067066 /// OTTHUMG00000133203
203039_s_at	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	4719	ENSG00000023228 /// OTTHUMG00000132892
203040_s_at	hydroxymethylbilane synthase	3145	ENSG00000256269 /// ENSG00000281702 /// OTTHUMG00000168295
203052_at	complement component 2	717	ENSG00000166278 /// ENSG00000204364 /// ENSG00000206372 /// ENSG00000226560 /// ENSG00000231543 /// ENSG00000235017 /// ENSG00000235696 /// OTTHUMG00000004932 /// OTTHUMG00000031190 /// OTTHUMG00000031489 /// OTTHUMG00000137486 /// OTTHUMG00000149041 /// OTTHUMG00000149315 /// OTTHUMG00000149550
203071_at	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	7869	ENSG00000012171 /// OTTHUMG00000156970
203107_x_at	ribosomal protein S2	6187	ENSG00000140988 /// OTTHUMG00000128708
203113_s_at	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	1936	ENSG00000104529 /// ENSG00000273594 /// OTTHUMG00000165191 /// OTTHUMG00000190672
203122_at	trafficking protein particle complex 12	51112	ENSG00000171853 /// ENSG00000274891 /// OTTHUMG00000090328 /// OTTHUMG00000189651
203146_s_at	gamma-aminobutyric acid (GABA) B receptor, 1	2550	ENSG00000204681 /// ENSG00000206466 /// ENSG00000206511 /// ENSG00000232569 /// ENSG00000232632 /// ENSG00000237051 /// ENSG00000237112
203154_s_at	p21 protein (Cdc42/Rac)-activated kinase 4	10298	ENSG00000130669
203167_at	TIMP metallopeptidase inhibitor 2	7077	ENSG00000035862 /// OTTHUMG00000154517
203210_s_at	replication factor C subunit 5	5985	ENSG00000111445 /// OTTHUMG00000156438
203229_s_at	CDC like kinase 2	1196	ENSG00000176444 /// ENSG00000261893 /// OTTHUMG00000035873 /// OTTHUMG00000175268
203239_s_at	CCR4-NOT transcription complex subunit 3	4849	ENSG00000088038 /// ENSG00000273943 /// ENSG00000274176 /// ENSG00000274616 /// ENSG00000274941 /// ENSG00000275979 /// ENSG00000276082 /// ENSG00000277114 /// ENSG00000277600 /// ENSG00000277615 /// OTTHUMG00000066468 /// OTTHUMG00000149824 /// OTTHUMG00000150963 /// OTTHUMG00000189022
203278_s_at	PHD finger protein 21A	51317	ENSG00000135365 /// OTTHUMG00000167038
203307_at	guanine nucleotide binding protein-like 1	2794	ENSG00000204590 /// ENSG00000206412 /// ENSG00000206492 /// ENSG00000226882 /// ENSG00000228581 /// ENSG00000229470 /// ENSG00000232143 /// ENSG00000235986 /// OTTHUMG00000004918 /// OTTHUMG00000031137 /// OTTHUMG00000031417 /// OTTHUMG00000133027 /// OTTHUMG00000148795 /// OTTHUMG00000149024 /// OTTHUMG00000149306 /// OTTHUMG00000149537
203317_at	pleckstrin and Sec7 domain containing 4	23550	ENSG00000125637 /// OTTHUMG00000153339
203353_s_at	methyl-CpG binding domain protein 1	4152	ENSG00000141644 /// OTTHUMG00000132669
203354_s_at	pleckstrin and Sec7 domain containing 3	23362	ENSG00000156011 /// OTTHUMG00000163711
203355_s_at	pleckstrin and Sec7 domain containing 3	23362	ENSG00000156011 /// OTTHUMG00000163711
203363_s_at	autophagy related 13	9776	ENSG00000175224 /// OTTHUMG00000166538
203364_s_at	autophagy related 13	9776	ENSG00000175224 /// OTTHUMG00000166538
203367_at	dual specificity phosphatase 14	11072	ENSG00000275932 /// ENSG00000276023 /// OTTHUMG00000188472 /// OTTHUMG00000191254
203372_s_at	suppressor of cytokine signaling 2	8835	ENSG00000120833 /// OTTHUMG00000170160
203379_at	ribosomal protein S6 kinase, 90kDa, polypeptide 1	6195	ENSG00000117676 /// ENSG00000281877 /// OTTHUMG00000004003
203396_at	proteasome subunit alpha 4	5685	ENSG00000041357 /// OTTHUMG00000143859
203491_s_at	centrosomal protein 57kDa	9702	ENSG00000166037 /// OTTHUMG00000167740
203554_x_at	pituitary tumor-transforming 1	9232	ENSG00000164611 /// OTTHUMG00000130328
203566_s_at	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	178	ENSG00000162688 /// OTTHUMG00000010803
203577_at	general transcription factor IIH subunit 4	2968	ENSG00000137411 /// ENSG00000206476 /// ENSG00000213780 /// ENSG00000221974 /// ENSG00000223494 /// ENSG00000226384 /// ENSG00000230985 /// ENSG00000233149 /// ENSG00000234032 /// ENSG00000234370 /// ENSG00000236178 /// ENSG00000236895 /// OTTHUMG00000004841 /// OTTHUMG00000031043 /// OTTHUMG00000031263 /// OTTHUMG00000031313 /// OTTHUMG00000148946 /// OTTHUMG00000149225 /// OTTHUMG00000149461
203588_s_at	transcription factor Dp-2 (E2F dimerization partner 2)	7029	ENSG00000114126 /// OTTHUMG00000164975
203589_s_at	transcription factor Dp-2 (E2F dimerization partner 2)	7029	ENSG00000114126 /// OTTHUMG00000164975
203694_s_at	DEAH (Asp-Glu-Ala-His) box polypeptide 16	8449	ENSG00000204560 /// ENSG00000206486 /// ENSG00000226171 /// ENSG00000231377 /// ENSG00000233049 /// ENSG00000233418 /// ENSG00000233561 /// OTTHUMG00000004839 /// OTTHUMG00000031060 /// OTTHUMG00000031330 /// OTTHUMG00000133722 /// OTTHUMG00000148944 /// OTTHUMG00000149223 /// OTTHUMG00000149459
203753_at	transcription factor 4	6925	ENSG00000196628 /// OTTHUMG00000132713
203777_s_at	ribosomal protein S6 kinase, 70kDa, polypeptide 2	6199	ENSG00000175634 /// OTTHUMG00000167673
203823_at	regulator of G-protein signaling 3	5998	ENSG00000138835 /// OTTHUMG00000021048
203838_s_at	tyrosine kinase, non-receptor, 2	10188	ENSG00000061938 /// OTTHUMG00000155737
203852_s_at	survival of motor neuron 1, telomeric /// survival of motor neuron 2, centromeric	6606 /// 6607	ENSG00000172062 /// ENSG00000205571 /// ENSG00000273772 /// ENSG00000275349 /// ENSG00000277773 /// OTTHUMG00000099361 /// OTTHUMG00000099389 /// OTTHUMG00000175340 /// OTTHUMG00000190016 /// OTTHUMG00000190018
203881_s_at	dystrophin	1756	ENSG00000198947 /// OTTHUMG00000021336
203899_s_at	CGRP receptor component	27297	ENSG00000241258 /// OTTHUMG00000129519
203920_at	nuclear receptor subfamily 1, group H, member 3	10062	ENSG00000025434 /// OTTHUMG00000150628
203932_at	major histocompatibility complex, class II, DM beta	3109	ENSG00000226264 /// ENSG00000234154 /// ENSG00000239329 /// ENSG00000241296 /// ENSG00000241674 /// ENSG00000242092 /// ENSG00000242386 /// ENSG00000242574 /// OTTHUMG00000012587 /// OTTHUMG00000031176 /// OTTHUMG00000031467 /// OTTHUMG00000140192 /// OTTHUMG00000148834 /// OTTHUMG00000149103 /// OTTHUMG00000149360 /// OTTHUMG00000149621
203937_s_at	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa	9013	ENSG00000103168 /// OTTHUMG00000176665
203938_s_at	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa	9013	ENSG00000103168 /// OTTHUMG00000176665
203977_at	tafazzin	6901	ENSG00000102125 /// OTTHUMG00000033190
203984_s_at	caspase 9	842	ENSG00000132906 /// OTTHUMG00000002256
204019_s_at	SH3 and SYLF domain containing 1	26751	ENSG00000035115 /// OTTHUMG00000151359
204089_x_at	mitogen-activated protein kinase kinase kinase 4	4216	ENSG00000085511 /// OTTHUMG00000015968
204092_s_at	aurora kinase A	6790	ENSG00000087586 /// OTTHUMG00000032796
204093_at	cyclin H	902	ENSG00000134480 /// OTTHUMG00000119077
204126_s_at	cell division cycle 45	8318	ENSG00000093009 /// OTTHUMG00000150386
204147_s_at	transcription factor Dp-1	7027	ENSG00000198176 /// OTTHUMG00000017388
204188_s_at	retinoic acid receptor, gamma	5916	ENSG00000172819 /// OTTHUMG00000048077
204192_at	CD37 molecule	951	ENSG00000104894
204216_s_at	zinc finger CCCH-type containing 14	79882	ENSG00000100722 /// OTTHUMG00000170803
